"estacion_id","latitud","longitud"
"448","19.426611","-99.14447"
"443","19.359655","-99.162025"
"416","19.371308","-99.177607"
"437","19.36480833","-99.17602222"
"438","19.36479722","-99.17458333"
"440","19.36065","-99.168669"
"347","19.384378","-99.176097"
"350","19.384062","-99.181482"
"356","19.381292","-99.170171"
"361","19.3804457","-99.1762233"
"368","19.379246","-99.179344"
"369","19.379884","-99.177478"
"372","19.37797","-99.170289"
"379","19.375751","-99.17084"
"402","19.3709452","-99.1587223"
"3","19.431655","-99.158668"
"12","19.432313","-99.161597"
"13","19.423778","-99.175558"
"16","19.42653","-99.169164"
"17","19.427501","-99.167125"
"19","19.43001","-99.161675"
"21","19.423317","-99.175124"
"36","19.419725","-99.175778"
"47","19.419515","-99.166299"
"41","19.435637","-99.150137"
"55","19.434356","-99.138064"
"57","19.414903","-99.17495"
"66","19.411402","-99.178666"
"74","19.410343","-99.172831"
"63","19.413681","-99.171531"
"70","19.411272","-99.169718"
"88","19.433815","-99.135303"
"72","19.409893","-99.179544"
"86","19.432378","-99.159077"
"102","19.42821","-99.13949"
"110","19.42513","-99.14339"
"111","19.438371","-99.166474"
"112","19.432819","-99.151734"
"123","19.424161","-99.153117"
"150","19.409965","-99.164292"
"154","19.406683","-99.167962"
"171","19.402584","-99.178199"
"173","19.401682","-99.176398"
"174","19.44111","-99.16164"
"204","19.435882","-99.19152"
"197","19.440077","-99.204316"
"227","19.431791","-99.207373"
"181","19.404976","-99.175095"
"232","19.42894","-99.185389"
"237","19.426744","-99.193986"
"238","19.426765","-99.193752"
"234","19.42783","-99.191539"
"243","19.440839","-99.196712"
"248","19.43175","-99.177399"
"250","19.429057","-99.17966"
"253","19.425835","-99.177924"
"255","19.437159","-99.161808"
"259","19.43757","-99.15468"
"261","19.423704","-99.175196"
"264","19.440985","-99.152935"
"265","19.440839","-99.152265"
"273","19.442707","-99.152956"
"277","19.401807","-99.15909"
"278","19.40071","-99.163831"
"271","19.442689","-99.152465"
"283","19.39827","-99.167383"
"288","19.396333","-99.183575"
"305","19.394693","-99.175531"
"308","19.393594","-99.178072"
"310","19.395319","-99.181733"
"311","19.393665","-99.185391"
"313","19.391431","-99.178989"
"321","19.389477","-99.157513"
"322","19.388528","-99.160616"
"325","19.3881779","-99.1696894"
"251","19.429261","-99.17538"
"252","19.427575","-99.17702"
"249","19.429877","-99.177569"
"246","19.434147","-99.179835"
"247","19.432102","-99.180565"
"452","19.435031","-99.179838"
"439","19.36218889","-99.17246667"
"436","19.366217","-99.177819"
"423","19.367631","-99.175342"
"435","19.365154","-99.172906"
"420","19.369723","-99.17964"
"421","19.369467","-99.179401"
"422","19.368356","-99.177487"
"349","19.385688","-99.180857"
"334","19.386568","-99.175089"
"326","19.388978","-99.174811"
"266","19.444031","-99.152187"
"267","19.443735","-99.152203"
"268","19.442448","-99.151586"
"269","19.442467","-99.151658"
"272","19.443467","-99.152491"
"274","19.442772","-99.153289"
"275","19.441062","-99.153164"
"176","19.442689","-99.152286"
"348","19.385365","-99.178216"
"362","19.382207","-99.181043"
"363","19.380813","-99.183851"
"353","19.382168","-99.178808"
"262","19.43693","-99.13395"
"260","19.435354","-99.147742"
"105","19.426755","-99.135014"
"106","19.42649","-99.133537"
"107","19.427329","-99.149971"
"108","19.427305","-99.149533"
"109","19.425311","-99.137421"
"65","19.436142","-99.139906"
"87","19.43182","-99.13974"
"89","19.434946","-99.133989"
"90","19.431698","-99.132446"
"91","19.4374","-99.137571"
"92","19.436531","-99.131497"
"93","19.436741","-99.134811"
"94","19.433766","-99.130918"
"95","19.430722","-99.133698"
"96","19.430625","-99.14248"
"97","19.429189","-99.132759"
"98","19.430267","-99.14861"
"99","19.42995","-99.14591"
"100","19.428485","-99.1338"
"101","19.428366","-99.135895"
"82","19.433115","-99.143686"
"52","19.436236","-99.142039"
"48","19.433686","-99.146557"
"43","19.435228","-99.146063"
"29","19.434913","-99.149939"
"192","19.42592","-99.190755"
"193","19.425907","-99.190733"
"194","19.424282","-99.180334"
"195","19.424926","-99.185147"
"258","19.4167","-99.1791"
"49","19.416712","-99.175704"
"50","19.416938","-99.173648"
"53","19.414773","-99.178433"
"54","19.416215","-99.170825"
"58","19.41568","-99.171793"
"67","19.411797","-99.17588"
"68","19.411556","-99.17406"
"60","19.414191","-99.177123"
"62","19.413322","-99.175202"
"11","19.430992","-99.163593"
"20","19.430964","-99.160206"
"18","19.42836","-99.165543"
"14","19.424768","-99.173261"
"15","19.425477","-99.171567"
"4","19.428309","-99.171713"
"5","19.42972","-99.169363"
"6","19.430922","-99.166959"
"7","19.425468","-99.175166"
"1","19.433296","-99.168051"
"2","19.431386","-99.171695"
"9","19.428009","-99.169918"
"104","19.427059","-99.137116"
"124","19.422392","-99.150358"
"122","19.425502","-99.146337"
"357","19.380598","-99.1669248"
"358","19.380168","-99.164222"
"359","19.379269","-99.161169"
"360","19.3790279","-99.1628259"
"324","19.3872468","-99.1656554"
"343","19.384099","-99.160826"
"344","19.382107","-99.162243"
"335","19.387003","-99.173504"
"336","19.385531","-99.169673"
"337","19.384849","-99.16704"
"338","19.384249","-99.163273"
"373","19.377968","-99.166663"
"374","19.376964","-99.161116"
"282","19.398692","-99.161273"
"279","19.399908","-99.166553"
"323","19.389026","-99.163403"
"316","19.391056","-99.1712"
"317","19.391456","-99.166157"
"318","19.392249","-99.164127"
"319","19.391991","-99.162684"
"291","19.397651","-99.169946"
"292","19.396917","-99.166264"
"293","19.397373","-99.164598"
"298","19.394073","-99.16214"
"299","19.394601","-99.165054"
"300","19.393268","-99.168333"
"301","19.393807","-99.171133"
"302","19.393832","-99.171466"
"377","19.375394","-99.16375"
"378","19.375823","-99.168076"
"390","19.373228","-99.17826"
"391","19.373142","-99.178283"
"394","19.372437","-99.171592"
"395","19.373742","-99.169814"
"396","19.371554","-99.170187"
"397","19.373194","-99.167247"
"398","19.37103","-99.16566"
"399","19.372407","-99.164519"
"400","19.3726458","-99.1642743"
"433","19.363558","-99.170819"
"434","19.363776","-99.171498"
"424","19.367208","-99.170531"
"425","19.367087","-99.16741"
"413","19.369782","-99.171906"
"414","19.370187","-99.173712"
"415","19.371498","-99.17602"
"285","19.399688","-99.177524"
"286","19.399201","-99.179943"
"287","19.398946","-99.183254"
"175","19.400806","-99.172645"
"172","19.403365","-99.181553"
"166","19.406069","-99.183549"
"167","19.404651","-99.179375"
"168","19.403997","-99.1776"
"169","19.403019","-99.174934"
"170","19.404029","-99.184342"
"383","19.375764","-99.181527"
"366","19.378345","-99.181973"
"428","19.363418","-99.160353"
"431","19.36145","-99.15822"
"432","19.361296","-99.162581"
"444","19.359384","-99.159425"
"445","19.35827","-99.156105"
"446","19.3591196","-99.1561282"
"242","19.440344","-99.20105"
"244","19.440885","-99.193315"
"245","19.438165","-99.190368"
"177","19.408841","-99.181692"
"178","19.406833","-99.180457"
"73","19.410245","-99.175612"
"75","19.408722","-99.17669"
"76","19.408736","-99.169913"
"77","19.406765","-99.178321"
"78","19.407503","-99.177382"
"79","19.407534","-99.174427"
"80","19.407307","-99.172118"
"81","19.408006","-99.168475"
"61","19.413742","-99.169525"
"69","19.410733","-99.168111"
"59","19.415121","-99.166661"
"83","19.406296","-99.172117"
"84","19.40702","-99.169587"
"71","19.411423","-99.171351"
"64","19.412877","-99.166986"
"179","19.404452","-99.171438"
"180","19.404554","-99.169953"
"182","19.402089","-99.17139"
"417","19.373262","-99.184333"
"418","19.371152","-99.183034"
"419","19.370606","-99.181502"
"384","19.375873","-99.185583"
"385","19.375651","-99.18558"
"386","19.37484","-99.185846"
"387","19.37455556","-99.180505555556"
"388","19.373038","-99.181355"
"389","19.373528","-99.179356"
"345","19.384498","-99.172223"
"346","19.385019","-99.174077"
"355","19.38205","-99.173291"
"447","19.418858","-99.176776"
"449","19.42018","-99.174393"
"113","19.430369","-99.154419"
"114","19.428989","-99.153618"
"115","19.429947","-99.159698"
"116","19.428985","-99.15664"
"117","19.427132","-99.160369"
"118","19.427114","-99.158251"
"119","19.42679","-99.15554"
"120","19.425437","-99.159458"
"121","19.424137","-99.161317"
"30","19.426442","-99.164323"
"31","19.427838","-99.161193"
"32","19.422705","-99.169922"
"33","19.424234","-99.166431"
"34","19.424539","-99.163503"
"35","19.424572","-99.163123"
"22","19.424375","-99.172575"
"23","19.425483","-99.170414"
"24","19.426102","-99.168992"
"25","19.426944","-99.166946"
"26","19.432685","-99.154726"
"27","19.429115","-99.162614"
"28","19.423542","-99.172494"
"404","19.373813","-99.157387"
"375","19.376865","-99.158818"
"376","19.375442","-99.161595"
"333","19.387624","-99.180978"
"284","19.397693","-99.172981"
"303","19.394842","-99.173025"
"304","19.395043","-99.173821"
"309","19.393162","-99.17956"
"306","19.393699","-99.175664"
"307","19.393701","-99.175834"
"289","19.397308","-99.174548"
"290","19.396333","-99.172667"
"314","19.391647","-99.177331"
"315","19.391472","-99.1736"
"327","19.38885","-99.17772"
"320","19.391323","-99.15936"
"294","19.396513","-99.160924"
"295","19.396328","-99.156871"
"296","19.394283","-99.158756"
"297","19.394412","-99.158907"
"280","19.4015","-99.156406"
"281","19.398532","-99.157308"
"276","19.401986","-99.156366"
"339","19.386032","-99.160548"
"340","19.385571","-99.158188"
"341","19.382851","-99.158204"
"342","19.381076","-99.159455"
"367","19.37946","-99.181632"
"354","19.381665","-99.176685"
"451","19.42902","-99.201322"
"233","19.429314","-99.196965"
"239","19.430153","-99.181355"
"240","19.43855","-99.2063"
"241","19.43862","-99.20758"
"235","19.42933","-99.20218"
"236","19.42944","-99.20243"
"196","19.438349","-99.192904"
"228","19.427705","-99.19912"
"229","19.430515","-99.203331"
"230","19.430098","-99.200074"
"231","19.42977","-99.19349"
"198","19.438168","-99.203888"
"199","19.437934","-99.197241"
"200","19.437596","-99.188785"
"201","19.437431","-99.187215"
"202","19.43617","-99.198943"
"203","19.435985","-99.194832"
"205","19.435525","-99.184713"
"206","19.435798","-99.201419"
"207","19.434861","-99.183322"
"208","19.434182","-99.189835"
"209","19.435478","-99.206359"
"210","19.434076","-99.194091"
"211","19.433607","-99.188528"
"212","19.433567","-99.188096"
"213","19.434354","-99.20632"
"214","19.434353","-99.20322"
"215","19.43384","-99.19968"
"216","19.433419","-99.195746"
"217","19.432888","-99.183605"
"218","19.432451","-99.188033"
"219","19.433542","-99.207808"
"220","19.432655","-99.205727"
"221","19.431799","-99.201565"
"222","19.431417","-99.195774"
"223","19.431242","-99.191613"
"224","19.431255","-99.188065"
"225","19.431172","-99.185612"
"226","19.431033","-99.18222"
"405","19.370619","-99.156626"
"407","19.367294","-99.158694"
"408","19.36677","-99.156843"
"37","19.420419","-99.172676"
"38","19.420801","-99.171407"
"39","19.422484","-99.167153"
"40","19.42223","-99.164297"
"56","19.416959","-99.165702"
"42","19.420472","-99.168238"
"51","19.417995","-99.168248"
"44","19.418057","-99.174761"
"45","19.418649","-99.172127"
"46","19.419214","-99.169732"
"125","19.424541","-99.156204"
"126","19.422288","-99.162138"
"127","19.423318","-99.15833"
"128","19.422148","-99.160645"
"129","19.4206","-99.163312"
"130","19.421576","-99.158015"
"131","19.419579","-99.161314"
"132","19.420667","-99.15645"
"133","19.421138","-99.154725"
"134","19.418304","-99.15956"
"135","19.419225","-99.155099"
"136","19.417715","-99.162729"
"137","19.418774","-99.157081"
"138","19.417702","-99.155313"
"139","19.416128","-99.162097"
"140","19.416605","-99.156853"
"141","19.415905","-99.15954"
"142","19.413232","-99.164121"
"143","19.414303","-99.157542"
"144","19.415192","-99.154837"
"145","19.41286","-99.160661"
"146","19.410737","-99.165716"
"147","19.412182","-99.158443"
"148","19.412829","-99.155116"
"149","19.41199","-99.155699"
"151","19.410529","-99.160873"
"152","19.409098","-99.167181"
"153","19.407468","-99.165141"
"155","19.408218","-99.159911"
"156","19.407121","-99.162202"
"157","19.406236","-99.166616"
"158","19.407447","-99.155717"
"159","19.407517","-99.155373"
"161","19.405533","-99.164913"
"162","19.404907","-99.162485"
"163","19.405246","-99.156431"
"164","19.403204","-99.16596"
"165","19.404268","-99.160503"
"409","19.365102","-99.155499"
"410","19.36564","-99.158063"
"411","19.367864","-99.163626"
"412","19.3684182","-99.1654145"
"406","19.367831","-99.163261"
"427","19.365023","-99.162993"
"429","19.363071","-99.158292"
"430","19.362139","-99.154974"
"401","19.372147","-99.16158"
"403","19.371371","-99.158639"
"184","19.41479","-99.18508"
"185","19.4128","-99.1828"
"186","19.41249","-99.18875"
"187","19.41123","-99.18551"
"188","19.41171","-99.19014"
"189","19.41004","-99.18798"
"190","19.409569","-99.183833"
"191","19.4079","-99.18795"
"364","19.383063","-99.185858"
"365","19.381117","-99.186687"
"352","19.384114","-99.185447"
"351","19.385751","-99.186297"
"312","19.392634","-99.183737"
"328","19.392586","-99.184742"
"329","19.390306","-99.184812"
"330","19.389358","-99.182606"
"331","19.388547","-99.183971"
"332","19.385508","-99.183809"
"263","19.436274","-99.158425"
"256","19.4372","-99.15816"
"257","19.4338","-99.16622"
"254","19.43935","-99.16007"
"183","19.43767","-99.16402"
"160","19.44025","-99.16346"
"103","19.441669","-99.165217"
"85","19.43425","-99.162508"
"10","19.433321","-99.154752"
"8","19.431141","-99.158317"
"270","19.43676","-99.15387"
"450","19.43836","-99.152226"
"392","19.3730067","-99.1747749"
"393","19.372796","-99.172558"
"370","19.378818","-99.177054"
"371","19.378542","-99.174328"
"380","19.374876","-99.173512"
"381","19.375541","-99.177894"
"382","19.375591","-99.178084"
"441","19.361215","-99.167527"
"442","19.359905","-99.1653"
"426","19.365519","-99.166017"
